ClassName,Changes,TotalCommits
JsonParserAsyncTest,4,1210
JsonParserTest,16,1247
JsonPrimitiveTest,11,1314
JsonSerializerExceptionWrapperTest,1,1380
JsonStreamParserTest,5,1169
LongSerializationPolicyTest,2,1259
LowerCamelCaseSeparatorNamingPolicyTest,2,1380
LowerCaseNamingPolicyTest,1,1380
LruCacheTest,7,1119
MappedObjectConstructorTest,5,932
MemoryRefStackTest,6,1380
PerformanceTest,13,1356
MixedStreamTest,6,1058
MockExclusionStrategy2,2,944
MockExclusionStrategy,4,1380
ModifyFirstLetterNamingPolicyTest,2,1380
NullExclusionStrategyTest,7,1380
ObjectTypeAdapterTest,8,750
OverrideCoreTypeAdaptersTest,2,513
ParameterizedTypeFixtures,2,634
ParameterizedTypeHandlerMapTest,6,1380
ParameterizedTypeTest,5,957
ParamterizedTypeFixtures,13,1380
PrimitiveTypeAdapter,7,1323
PrimitiveTypeAdapterTest,1,1380
TypeTokenTest,2,954
TypeTokenTest,6,953
JsonAdapterNullSafeTest,4,172
SerializedNameAnnotationInterceptingNamingPolicyTest,10,1380
JsonReaderPathTest,4,386
JsonReaderTest,34,1069
JsonWriterTest,9,1069
StringUnmarshallerTest,2,1359
TypeInfoArrayTest,2,1380
TypeInfoFactoryTest,6,1380
TypeInfoMapTest,1,1380
TypeInfoTest,2,1380
TypeUtilsTest,1,1380
UpperCamelCaseSeparatorNamingPolicyTest,2,1097
UpperCaseNamingPolicyTest,1,1380
VersionExclusionStrategyTest,15,1380
BagOfPrimitivesDeserializationBenchmark,1,935
BagOfPrimitives,1,940
CollectionsDeserializationBenchmark,1,935
GsonBenchmark,2,940
ParseBenchmark,3,590
SerializationBenchmark,1,935
ProtoTypeAdapter,10,1054
ProtosWithAnnotationsTest,2,279
ProtosWithComplexAndRepeatedFieldsTest,3,1036
ProtosWithPrimitiveTypesTest,3,1036
FunctionalTest,3,1054
ResourceDepotClient,5,995
RestClient,5,1014
RestClientStub,5,1005
RestRequestSender,5,1014
RestResponseReceiver,4,1014
RestServerConfig,2,1014
ResourceQueryClient,4,993
Preconditions,4,1116
QueueConsumer,4,1113
QueueEntry,4,1113
RequestSender,9,1125
ResponseCallback,4,1113
ResponseReceiver,9,1125
RestClient,6,1106
RestRequestSender,4,1106
RestResponseReceiver,3,1106
ServerConfig,2,1014
SingleThreadExecutor,3,1113
Streams,4,1112
TaskExecutor,3,1113
ThreadPerTaskExecutor,3,1113
