Version,Strategy,Accuracy,FDR
42,Min,0.0,0
42,TotalLines,0.0,0
42,MeanLines,0.0,0
42,MaxLines,0.0,0
42,MinLines,0.0,0
43,Total,0.5,1
43,Mean,0.0,0
43,Max,0.0,0
43,Min,0.5,1
43,TotalLines,0.5,1
43,MeanLines,0.0,0
43,MaxLines,0.0,0
43,MinLines,0.0,0
44,Total,0.0,0
44,Mean,0.0,0
44,Max,0.0,0
44,Min,0.0,0
44,TotalLines,0.0,0
44,MeanLines,0.0,0
44,MaxLines,0.0,0
44,MinLines,0.0,0
45,Total,1.0,1
45,Mean,1.0,1
45,Max,1.0,1
45,Min,0.0,0
45,TotalLines,1.0,1
45,MeanLines,1.0,1
45,MaxLines,1.0,1
45,MinLines,0.0,0
46,Total,0.0,0
46,Mean,0.0,0
46,Max,0.0,0
46,Min,0.0,0
46,TotalLines,0.0,0
46,MeanLines,0.0,0
46,MaxLines,0.0,0
46,MinLines,0.0,0
47,Total,0.0,0
47,Mean,0.0,0
47,Max,0.0,0
47,Min,0.0,0
47,TotalLines,0.0,0
47,MeanLines,0.0,0
47,MaxLines,0.0,0
47,MinLines,0.0,0
48,Total,0.0,0
48,Mean,0.0,0
48,Max,0.0,0
48,Min,0.0,0
48,TotalLines,0.0,0
48,MeanLines,0.0,0
48,MaxLines,0.0,0
48,MinLines,0.0,0
49,Total,1.0,1
49,Mean,0.0,0
49,Max,0.0,0
49,Min,0.0,0
49,TotalLines,1.0,1
49,MeanLines,1.0,1
49,MaxLines,1.0,1
49,MinLines,0.0,0
50,Total,0.0,0
50,Mean,0.0,0
50,Max,0.0,0
50,Min,0.0,0
50,TotalLines,0.0,0
50,MeanLines,0.0,0
50,MaxLines,0.0,0
50,MinLines,0.0,0
51,Total,0.0,0
51,Mean,0.0,0
51,Max,0.0,0
51,Min,0.0,0
51,TotalLines,0.0,0
51,MeanLines,0.0,0
51,MaxLines,0.0,0
51,MinLines,0.0,0
52,Total,0.0,0
52,Mean,0.14285714285714285,1
52,Max,0.14285714285714285,1
52,Min,0.42857142857142855,1
52,TotalLines,0.0,0
52,MeanLines,0.14285714285714285,1
52,MaxLines,0.0,0
52,MinLines,0.14285714285714285,1
53,Total,1.0,1
53,Mean,1.0,1
53,Max,1.0,1
53,Min,1.0,1
53,TotalLines,1.0,1
53,MeanLines,1.0,1
53,MaxLines,1.0,1
53,MinLines,1.0,1
54,Total,0.0,0
54,Mean,0.0,0
54,Max,0.0,0
54,Min,0.0,0
54,TotalLines,0.0,0
54,MeanLines,0.0,0
54,MaxLines,0.0,0
54,MinLines,0.0,0
55,Total,0.0,0
55,Mean,0.0,0
55,Max,0.0,0
55,Min,1.0,1
55,TotalLines,0.0,0
55,MeanLines,0.0,0
55,MaxLines,0.0,0
55,MinLines,1.0,1
56,Total,0.0,0
56,Mean,0.0,0
56,Max,0.0,0
56,Min,0.0,0
56,TotalLines,0.0,0
56,MeanLines,0.0,0
56,MaxLines,0.0,0
56,MinLines,0.0,0
57,Total,0.0,0
57,Mean,0.0,0
57,Max,0.0,0
57,Min,0.0,0
57,TotalLines,0.0,0
57,MeanLines,0.0,0
57,MaxLines,0.0,0
57,MinLines,0.0,0
58,Total,0.0,0
58,Mean,0.0,0
58,Max,0.0,0
58,Min,0.0,0
58,TotalLines,0.0,0
58,MeanLines,1.0,1
58,MaxLines,1.0,1
58,MinLines,1.0,1
59,Total,0.5,1
59,Mean,0.0,0
59,Max,0.0,0
59,Min,0.0,0
59,TotalLines,0.5,1
59,MeanLines,0.5,1
59,MaxLines,0.5,1
59,MinLines,0.0,0
60,Total,0.0,0
60,Mean,0.0,0
60,Max,0.0,0
60,Min,0.0,0
60,TotalLines,0.0,0
60,MeanLines,0.0,0
60,MaxLines,0.0,0
60,MinLines,0.0,0
61,Total,1.0,1
61,Mean,0.0,0
61,Max,0.0,0
61,Min,0.0,0
61,TotalLines,1.0,1
61,MeanLines,0.5,1
61,MaxLines,0.5,1
61,MinLines,0.5,1
62,Total,0.0,0
62,Mean,1.0,1
62,Max,1.0,1
62,Min,1.0,1
62,TotalLines,0.0,0
62,MeanLines,0.0,0
62,MaxLines,0.0,0
62,MinLines,0.0,0
63,Total,0.0,0
63,Mean,0.0,0
63,Max,0.0,0
63,Min,0.0,0
63,TotalLines,0.0,0
63,MeanLines,0.0,0
63,MaxLines,0.0,0
63,MinLines,1.0,1
64,Total,1.0,1
64,Mean,1.0,1
64,Max,1.0,1
64,Min,1.0,1
64,TotalLines,1.0,1
64,MeanLines,1.0,1
64,MaxLines,1.0,1
64,MinLines,1.0,1
65,Total,1.0,1
65,Mean,0.0,0
65,Max,0.0,0
65,Min,0.0,0
65,TotalLines,1.0,1
65,MeanLines,0.0,0
65,MaxLines,0.0,0
65,MinLines,0.0,0
66,Total,0.0,0
66,Mean,0.0,0
66,Max,0.0,0
66,Min,1.0,1
66,TotalLines,0.0,0
66,MeanLines,0.0,0
66,MaxLines,0.0,0
66,MinLines,1.0,1
67,Total,0.0,0
67,Mean,1.0,1
67,Max,1.0,1
67,Min,1.0,1
67,TotalLines,0.0,0
67,MeanLines,0.0,0
67,MaxLines,0.0,0
67,MinLines,1.0,1
68,Total,0.0,0
68,Mean,0.0,0
68,Max,0.0,0
68,Min,0.0,0
68,TotalLines,0.0,0
68,MeanLines,0.0,0
68,MaxLines,0.0,0
68,MinLines,1.0,1
69,Total,0.0,0
69,Mean,0.0,0
69,Max,0.0,0
69,Min,0.0,0
69,TotalLines,0.0,0
69,MeanLines,0.0,0
69,MaxLines,0.0,0
69,MinLines,0.0,0
70,Total,0.0,0
70,Mean,0.0,0
70,Max,0.0,0
70,Min,0.0,0
70,TotalLines,0.0,0
70,MeanLines,0.0,0
70,MaxLines,0.0,0
70,MinLines,0.0,0
71,Total,0.0,0
71,Mean,1.0,1
71,Max,1.0,1
71,Min,1.0,1
71,TotalLines,0.0,0
71,MeanLines,1.0,1
71,MaxLines,1.0,1
71,MinLines,1.0,1
72,Total,0.0,0
72,Mean,0.0,0
72,Max,0.0,0
72,Min,0.0,0
72,TotalLines,0.0,0
72,MeanLines,0.0,0
72,MaxLines,0.0,0
72,MinLines,0.0,0
73,Total,0.0,0
73,Mean,0.0,0
73,Max,1.0,1
73,Min,0.0,0
73,TotalLines,0.0,0
73,MeanLines,1.0,1
73,MaxLines,1.0,1
73,MinLines,0.0,0
74,Total,0.0,0
74,Mean,0.0,0
74,Max,0.0,0
74,Min,0.0,0
74,TotalLines,0.0,0
74,MeanLines,0.0,0
74,MaxLines,0.0,0
74,MinLines,0.0,0
75,Total,1.0,1
75,Mean,0.0,0
75,Max,0.0,0
75,Min,0.0,0
75,TotalLines,0.0,0
75,MeanLines,0.0,0
75,MaxLines,0.0,0
75,MinLines,0.0,0
76,Total,0.0,0
76,Mean,0.0,0
76,Max,0.0,0
76,Min,1.0,1
76,TotalLines,0.0,0
76,MeanLines,0.0,0
76,MaxLines,0.0,0
76,MinLines,1.0,1
77,Total,0.0,0
77,Mean,0.0,0
77,Max,0.0,0
77,Min,0.0,0
77,TotalLines,0.0,0
77,MeanLines,0.0,0
77,MaxLines,0.0,0
77,MinLines,0.0,0
78,Total,1.0,1
78,Mean,0.0,0
78,Max,0.0,0
78,Min,0.0,0
78,TotalLines,1.0,1
78,MeanLines,1.0,1
78,MaxLines,1.0,1
78,MinLines,1.0,1
79,Total,0.0,0
79,Mean,1.0,1
79,Max,1.0,1
79,Min,1.0,1
79,TotalLines,0.0,0
79,MeanLines,1.0,1
79,MaxLines,1.0,1
79,MinLines,1.0,1
80,Total,0.0,0
80,Mean,0.0,0
80,Max,0.0,0
80,Min,0.0,0
80,TotalLines,0.0,0
80,MeanLines,0.0,0
80,MaxLines,0.0,0
80,MinLines,0.0,0
81,Total,0.0,0
81,Mean,1.0,1
81,Max,1.0,1
81,Min,1.0,1
81,TotalLines,0.0,0
81,MeanLines,0.0,0
81,MaxLines,1.0,1
81,MinLines,0.0,0
82,Total,0.0,0
82,Mean,0.0,0
82,Max,0.0,0
82,Min,0.0,0
82,TotalLines,0.0,0
82,MeanLines,0.0,0
82,MaxLines,0.0,0
82,MinLines,0.0,0
83,Total,0.5,1
83,Mean,0.5,1
83,Max,0.5,1
83,Min,0.5,1
83,TotalLines,0.5,1
83,MeanLines,0.5,1
83,MaxLines,0.5,1
83,MinLines,0.5,1
84,Total,0.0,0
84,Mean,0.0,0
84,Max,0.0,0
84,Min,0.0,0
84,TotalLines,0.0,0
84,MeanLines,0.0,0
84,MaxLines,0.0,0
