ClassName,Changes,TotalCommits
VerificationModeImplTest,19,1723
MockitoSpy,4,363
CapturingArgumentsTest,11,1009
VerificationModeDecoder,14,1286
NoMoreInvocationsVerifier,19,1753
EqualsWithDeltaTest,2,187
StubInfoImpl,3,282
ShouldMocksCompareToBeConsistentWithEqualsTest,5,473
ModellingVerboseMockitoTest,11,1041
ArgumentsProcessor,3,284
StubbingWithCustomAnswerTest,15,1423
Issue353InjectionMightNotHappenInCertainConfigurationTest,2,190
IOOBExceptionShouldNotBeThrownWhenNotCodingFluentlyTest,4,380
StackTraceRemoverTest,19,1809
AtLeast,13,1244
DefaultReturnValues,16,1532
InOrderImpl,13,1245
VerboseMockInvocationLogger,4,388
PointingStackTraceToActualInvocationInOrderTest,17,1651
Answer,15,1459
VerificationDataImpl,13,1266
ClickableStackTracesWhenFrameworkMisusedTest,11,1079
ClonesArguments,7,688
ReadingConfigurationFromClasspathTest,9,885
ConfigurationSupport,15,1481
RunnerFactory,10,989
StubOnlyAvoidMemoryConsumptionTest,1,99
ArgumentsComparatorTest,8,795
MockitoStubberTest,14,1406
MockitoException,19,1911
GloballyConfiguredReturnValues,12,1208
Constructors,1,101
ObjectMethodsGuruTest,8,809
MockName,11,1116
VerificationAndStubbingUsingMatchersTest,18,1827
MatchersPrinterTest,9,916
CGLIBProxyRealMethod,9,922
BridgeMethodPuzzleTest,18,1846
MockitoDebugger,7,718
WrongSetOfAnnotationsTest,6,618
InOrderWrapper,12,1236
MockitoAssertionErrorTest,18,1856
Times,12,1238
NullResultGuardian,2,207
MockHandlerFactoryTest,2,207
ArgumentsAreDifferent,15,1554
ReturnsMocksTest,9,933
RegisteredInvocationsTest,18,1870
Sets,3,312
MockInjectionUsingSetterOrPropertyTest,4,418
InstanceField,3,315
MockitoAnnotationsMockAnnotationProcessor,3,316
CaptorAnnotationProcessor,3,316
MockAnnotationProcessor,3,316
MultithreadedStubbingHalfManualTest,5,527
CaptorAnnotationTest,6,634
InitializeChildTestWhenParentHasListenerTest,3,318
ShouldNotDeadlockAnswerExecutionTest,5,530
MockitoVerificationMode,12,1273
MockitoAssertionError,18,1911
MockFactoryTest,18,1916
WarningsPrinter,11,1171
MockitoState,18,1918
MockingMultipleInterfacesTest,9,964
VerificationModeDecoderTest,12,1286
JUnitFailureHacker,6,643
InvalidUseOfMatchersException,18,1931
ClassImposterizerTest,12,1291
SerializableMethod,7,754
StubberImpl,13,1406
Primitives,12,1299
Returns,13,1419
ExampleTest,14,1529
ExposedInvocation,8,874
RunnerFactoryTest,9,988
GloballyConfiguredReturnValuesTest,11,1208
UnusedStubsFinder,6,659
VerificationDataImplTest,6,663
NumberOfInvocationsInOrderVerifierTest,15,1662
Strictly,17,1884
ScenarioPrinter,5,556
SerializableNoOp,7,781
Verifier,16,1786
EmptyReturnValues,16,1792
JUnitTool,12,1353
Calls,3,339
ReturnsFirstArgument,3,339
NoMoreInteractionsExcludingStubsTest,4,461
AllowsFakingReturnValues,13,1504
HandyReturnValues,10,1159
InvocationOnMock,13,1515
CallsRealMethods,8,934
MockReturnValues,9,1052
MockAwareVerificationMode,5,585
ExperimentalMockitoJUnitRunnerTest,10,1170
AtLeastOnceVerificationTest,16,1884
ArgumentMatcherStorage,10,1179
NumberOfInvocationsInOrderVerifier,14,1662
MissingInvocationInOrderVerifierTest,14,1662
InOrderVerifier,14,1662
Discrepancy,9,1073
Pluralizer,9,1073
HandyReturnValuesTest,7,835
CGLIBHacker,10,1198
Result,16,1924
ArrayEquals,16,1924
EqualsWithDelta,16,1924
ClassToBeMocked,3,361
JUnit45RunnerTest,11,1325
InjectionOfInlinedMockDeclarationTest,3,363
AccessibilityChanger,8,969
LenientCopyTool,8,969
VoidMethodStubbableImpl,8,972
CglibTest,16,1946
Localized,9,1096
PartialMockingWithSpiesTest,8,975
FieldReader,5,613
SelectedMocksInOrderVerificationTest,14,1719
SpyInjectionTest,5,618
MockNameImplTest,2,248
HamcrestMatchersTest,13,1622
FieldSetter,5,624
DescriptiveMessagesOnMisuseTest,13,1626
VerificationModeBuilder,14,1757
CapturingMatcher,8,1006
VerificationData,10,1266
MockControlTest,15,1912
AbstractMockitoMethodProxy,6,766
StubbedMethodSelector,11,1406
BasicVerificationInOrderTest,13,1662
MissingInvocationInOrderVerifier,13,1662
InOrder,13,1662
NoMoreInteractionsMode,10,1280
CustomMatcherDoesYieldCCETest,8,1026
LocalizedMatcherTest,7,898
MockitoExceptionTest,14,1799
VerificationOnMultipleMocksUsingMatchersTest,15,1928
JUnitFailureHackerTest,5,643
DescriptiveMessagesOnStrictOrderErrorsTest,14,1802
ConsoleMockitoLogger,5,646
WarningsPrinterTest,9,1163
LoggingListenerTest,5,647
ExpectedInvocationTest,15,1944
ConditionalStackTraceFilter,8,1037
ConditionalStackTraceFilterTest,8,1037
MockitoMethodProxy,6,781
IdentityAnswers,2,262
IdentityAnswersTest,2,262
ExceptionIncludingMockitoWarnings,5,657
DummyVerificationMode,5,662
MatcherDecorator,6,795
AnyVararg,6,795
StubbingConsecutiveReturnValuesTest,11,1462
ReturnsMoreEmptyValues,7,933
MockitoBehaviorTest,14,1878
RestrictedObjectMethodsTest,9,1210
IMockHandler,6,811
VerificationExcludingStubsTest,3,406
PluralizerTest,7,954
MockitoConfigurationTest,11,1508
NoMoreInteractions,9,1237
ConfiguringDefaultReturnValuesTest,11,1528
FailingOnPurposeBecauseIncorrectAnnotationUsage,1,139
FailingOnPurposeBecauseIncorrectStubbingSyntax,1,139
FailingOnPurposeBecauseWrongStubbingSyntaxInConfigurationMethod,1,139
DefaultReturnValuesTest,11,1532
FieldInitializationReport,3,418
MockInjectionStrategy,3,419
ParameterizedConstructorInstantiatorTest,3,419
RequiresValidState,13,1818
PrintingInvocationsDetectsUnusedStubTest,5,700
CapturesArguments,6,840
PrintingInvocationsWhenStubNotUsedTest,5,701
PrintingInvocationsWhenEverythingOkTest,5,701
JUnit45AndHigherRunnerImpl,7,986
JUnit44RunnerTest,7,989
CovariantOverrideTest,6,848
MockAccessTest,3,425
MocksCreationTest,10,1419
MoreMatchersTest,8,1140
VarargCapturingMatcherTest,1,143
VarargCapturingMatcher,1,143
AllInvocationsFinderTest,12,1719
MoreEmptyReturnValues,8,1159
HasCGLIBMethodProxy,6,874
ThrowsExceptionClass,3,438
StrictVerificationMixedWithOrdiraryVerificationTest,12,1764
VarargsAndAnyObjectPicksUpExtraInvocationsTest,6,885
TimeoutWithAtMostShouldBeDisabledTest,3,443
VerifyingMode,13,1924
FindingRedundantInvocationsInOrderTest,4,592
Same,13,1924
InvocationsPrinterTest,12,1777
MultipleInOrdersTest,4,593
ArticleManager,13,1928
ReflectionMatchersTest,11,1635
NPEWithCertainMatchersTest,5,744
CannotVerifyStubOnlyMock,1,149
ExpectedInvocation,13,1946
InvocationContainerImplStubbingTest,1,150
MockReturnValuesTest,7,1052
HasPrimitiveMethods,7,1052
DelegatingMethod,5,752
SerializableMethodTest,5,753
RelaxedVerificationInOrderTest,11,1662
DeepStubGenericTypesIssueTest,3,454
VarargsNotPlayingWithAnyObjectTest,7,1062
SingleRegisteredInvocation,1,152
ConfiguringDefaultReturnValuesForSelectedMocksTest,10,1524
DefaultRegisteredInvocationsTest,1,153
NewMockito,4,612
DefaultRegisteredInvocations,1,153
SerializableMockitoMethodTest,5,766
SerializableMockitoMethodProxy,5,766
DelegatingMockitoMethodProxy,5,766
AtLeastDiscrepancy,7,1073
RealMethod,6,922
VerificationError,12,1853
SpyAnnotationInitializedInBaseClassTest,4,619
ForwardsInvocations,2,310
ClickableStackTracesTest,7,1086
GloballyConfiguredAnswer,6,933
AnswerReturnValuesAdapter,6,934
FinalHashCodeAndEqualsRaiseNPEInInitMocksTest,2,312
HashCodeAndEqualsSafeSetTest,2,312
HashCodeAndEqualsSafeSet,2,312
HashCodeAndEqualsMockWrapper,2,312
DescriptiveMessagesWhenTimesXVerificationFailsTest,11,1719
FieldsTest,2,313
ReturnsDelegate,2,313
InjectMocksShouldTryPropertySettersFirstBeforeFieldAccessTest,3,470
InvocationsAnalyzerTest,11,1735
InvocationsAnalyzer,11,1735
InjectMock,4,631
FieldAnnotationProcessor,2,316
TestMethodsFinderTest,5,792
CaptorAnnotationUnhappyPathTest,4,634
CaptorAnnotationBasicTest,4,634
FailingBecauseIncorrectStubbingSyntax,2,318
FailingBecauseIncorrectAnnotationUsage,2,318
CaptorAnnotatedFieldShouldBeClearedTest,2,318
TestNGShouldFailWhenMockitoListenerFailsTest,2,318
VarargMatcher,5,795
MockFieldsShouldBeResetBetweenTestMethodsTest,2,318
FailingBecauseWrongStubbingSyntaxInConfigurationMethod,2,318
EnsureMocksAreInitializedBeforeBeforeClassMethodTest,2,318
VerboseMockitoRunnerTest,4,641
ReporterTest,11,1763
InvocationWithMatchers,12,1924
ArticleCalculator,12,1928
SimpleMockitoLoggerTest,4,646
DummyTestNgListenerTest,2,323
DummyTestNgListener,2,323
FieldCopier,6,969
PluginStackTraceFilteringTest,1,162
InvocationsCalculator,11,1782
MyStackTraceCleanerProvider,1,162
EmptyReturnValuesTest,11,1792
RunnerImpl,6,986
CommonStackTraceRemover,11,1809
MockingProgressListener,4,658
RunnerProvider,6,987
RunnerProviderTest,6,987
Filters,4,661
NPEOnAnyClassMatcherAutounboxTest,3,496
ThreadSafeMockingProgressTest,4,662
RunnersValidateFrameworkUsageTest,6,999
FrameworkUsageValidator,6,999
MockitoLoggerImpl,7,1175
MockitoLogger,7,1175
CapturingMatcherTest,5,840
ArgumentMatcherStorageImpl,7,1179
Argument,6,1013
WhiteboxTest,5,845
ReturnsFirstArgumentTest,2,339
RemoveFirstLine,5,850
CallsRealMethod,6,1024
CallingRealMethodTest,6,1024
DetectingFinalMethodsTest,7,1196
DoesNothing,8,1386
DecamelizerTest,9,1561
PlaygroundWithDemoOfUnclonedParametersProblemTest,4,697
CGLIBHackerTest,5,874
Any,11,1924
CompareTo,11,1924
InstanceOf,11,1924
Or,11,1924
Foo,4,701
ArticleDatabase,11,1928
InjectMocksScanner,2,352
ResultTest,10,1761
StrictVerificationTest,10,1764
InvocationsPrinter,10,1777
AtMost,7,1246
InvocationsChunker,10,1782
InvocationsMarkerTest,10,1782
ContainsExtraTypeInformation,5,898
VerificationInOrderMode,7,1266
ChildWithSameParentFieldInjectionTest,2,365
ListenersLostOnResetMockTest,2,370
VerificationAwareInvocation,3,556
Equality,4,742
SpyStubbingMisuseTest,2,371
EqualityTest,4,742
ReturnsMoreEmptyValuesTest,5,933
CaptorAnnotationAutoboxingTest,3,565
Article,10,1885
JUnit4RunnerTest,7,1325
ListUtilTest,9,1708
MethodInfo,5,950
SpyingOnInterfacesTest,4,760
FieldTypeAndNameComparatorTest,1,190
ListUtil,9,1713
SerializableMockitoMethod,4,766
SerializableMockitoMethodProxyTest,4,766
UnfinishedVerificationException,10,1917
MockitoStateTest,10,1918
StateResetter,10,1918
MissingMethodInvocationException,10,1918
CrazyMatchers,10,1920
ShouldNotTryToInjectInFinalOrStaticFieldsTest,2,384
StartsWith,10,1924
Null,10,1924
And,10,1924
Not,10,1924
Matches,10,1924
NotNull,10,1924
Contains,10,1924
Find,10,1924
EndsWith,10,1924
MoreEmptyReturnValuesTest,6,1159
DeprecatedOngoingStubbing,7,1353
InvocationListener,2,387
ObjectsSerializationTest,4,774
ExperimentalMockitoJUnitRunnerPM,6,1167
ExperimentalMockitoJUnitRunnerPMTest,6,1167
IAnswer,10,1946
ObjectMethodsFilter,10,1946
VerifyingModeTest,10,1946
MockitoControl,10,1946
DefaultStackTraceCleanerProvider,1,195
VerifyingWithAnExtraCallToADifferentMockTest,3,585
DefaultStackTraceCleaner,1,195
ShallowCopyToolTest,5,975
StackTraceCleaner,1,195
StackTraceCleanerProvider,1,195
SearchingClassLoader,7,1381
PrintableInvocation,8,1581
InvocationsCalculatorTest,9,1781
TestMethodsFinder,4,792
InvocationsChunkerTest,9,1782
AssertingMatchersTest,8,1586
CleaningUpPotentialStubbingTest,6,1196
OnlyVerificationTest,4,804
StackTraceBuilder,9,1811
SmartNullPointerException,6,1208
MockingRealObjectsTest,7,1412
ThreadsShareAMockTest,7,1424
FieldReaderTest,3,613
ReflectionEquals,8,1635
AtLeastMarksAllInvocationsVerified,4,819
AtLeastTest,4,819
AnyXMatchersAcceptNullsTest,7,1442
AccessibilityChangerTest,2,413
PrototypingTest,7,1450
SpyOnInjectedFieldsHandler,2,417
SimpleArgumentResolverTest,2,418
ConstructorInjectionTest,2,418
Checks,2,419
StrictVerificationError,9,1888
ObjectBox,4,840
ReturningMockValuesTest,5,1052
ConfigurationTest,7,1477
Configuration,7,1477
AtMostXVerificationTest,6,1266
DummyClassForTests,4,845
Whitebox,4,845
DummyParentClassForTests,4,845
FriendlyReturnValues,7,1480
MockitoRunnerBreaksWhenNoTestMethodsTest,4,848
Compare,9,1924
BridgeMethodsHitAgainTest,2,428
MatchersMixedWithRawArgumentsTest,7,1502
MockitoProperties,7,1507
SimpleMockitoLogger,3,646
UnfinishedStubbingException,9,1946
NotAMockException,9,1946
NumberOfInvocationsAssertionError,9,1946
VerificationModeTest,8,1765
DeprecatedStubbingTest,6,1327
Assertor,7,1549
ReturnsDeepMocks,3,664
DeepMockingTest,3,664
FriendlyReminderException,2,443
InvocationsMarker,8,1782
StringJoiner,8,1797
TooLittleActualInvocationsError,8,1800
TooManyActualInvocationsError,8,1801
DeprecatedMockAnnotationTest,2,451
UndesiredInvocation,8,1806
PrintingFriendlyInvocation,4,904
WantedDiffersFromActual,8,1808
OverloadingPuzzleTest,7,1583
PrintingVerboseTypesWithArgumentsTest,4,905
HasStackTrace,8,1811
PrintingFriendlyInocation,4,916
EqWithIntsDoesntCopeWithLongsTest,4,916
CloningParameterTest,3,688
Injecter,2,471
ThreadsStubSharedMockTest,6,1419
ThreadsShareGenerouslyStubbedMockTest,6,1419
ShouldAllowInlineMockCreationTest,2,477
DebuggingTestCasesTest,3,718
SyncingPrinterTest,6,1437
MockitoNamingPolicy,5,1198
SyncingPrinter,6,1438
CreationValidator,4,962
CreationValidatorTest,4,962
ObjenesisClassInstantiator,8,1924
AnswerFactory,6,1458
ShallowCopyTool,4,975
StrictlyNumberOfInvocationsVerifier,7,1710
StrictlyMissingInvocationVerifier,7,1710
JUnit44RunnerImpl,4,986
SpyShouldHaveNiceNameTest,2,499
ThreadReuseTest,4,1015
BasicVerificationMode,5,1280
RealReturnValues,4,1024
ExceptionsTest,7,1802
InvocationImplTest,1,258
MockitoMethodTest,3,781
ConfigurationAccess,4,1057
NumberOfInvocationsError,7,1852
NiceMessagesOnStrictOrderErrorsTest,7,1853
JUnitRunnerTestCase,5,1325
InvocationChunkTest,7,1869
InvocationChunk,7,1874
InheritedGenericsPolimorphicCallTest,2,537
ShouldOnlyModeAllowCapturingArgumentsTest,2,543
MockitoStackTraceFilter,7,1910
ShouldNotDeadlockAnswerExecution,2,546
AIOOBExceptionWithAtLeastTest,3,821
MockAwareInvocationHandler,7,1924
IArgumentMatcher,7,1924
MockitoSyntaxExperiments,7,1946
TestArgumentCaptorTest,3,837
ReturnsVoid,5,1398
StateMaster,5,1408
PackageProtected,5,1411
SmartMock,4,1130
ActualInvocationHasNullArgumentNPEBugTest,3,854
NPEWithIsAClassMatcherTest,3,855
GenericMatchersTest,5,1425
ActualInvocationsFinder,6,1719
BasicStrictVerificationTest,6,1719
FluentVerificationMode,2,578
MockitoConfigurationException,4,1159
DontThrow,5,1453
AnswerFactoryTest,5,1458
CollectingDebugDataTest,4,1170
CapturingMatchersTest,5,1467
IOngoingStubbing,3,881
WarningAboutStubsNotUsedTest,4,1175
StubbingWithExtraAnswersTest,2,589
CustomizedAnnotationForSmartMockTest,3,885
FirstUndesiredInvocation,6,1801
TooLittleInvocations,6,1802
CanDescribeVerbosely,3,901
BaseReturnValues,5,1503
SequenceNumber,4,1205
CanPrintArgumentVerbosely,3,913
PrintSettingsTest,3,914
Decamelizer,5,1561
TraceBuilder,5,1570
AtMostXVerificationMode,4,1266
InOrderVerificationModeWrapper,4,1266
StrictVerifier,6,1906
CommonStackTraceRemoverTest,5,1589
AnnotatedFieldsShouldBeInitializedByMockitoTestNGListenerTest,1,318
TestWithoutListenerShouldNotInitializeAnnotatedFieldsTest,1,318
DontResetMocksIfNoListenerTest,1,318
ConfigurationMethodTest,1,318
SomeType,1,318
FailureRecordingListener,1,318
MockitoTestNGListener,1,318
ResetMocksInParentTestClassTooTest,1,318
ParentTest,1,318
InOrderVerificationMode,4,1280
CompareEqual,6,1924
GreaterOrEqual,6,1924
GreaterThan,6,1924
LessOrEqual,6,1924
LessThan,6,1924
MethodSelector,6,1924
ToTypeMappings,6,1946
MockNameTest,6,1946
MockitoExploitsTest,6,1946
WrongTypeOfReturnValue,4,1299
EqualsBuilder,5,1635
EqualsBuilderTest,5,1635
Printable,5,1642
MockitoJUnit44RunnerImpl,3,989
MockitoJUnit4Runner,4,1352
ArgumentMatchingWithFancyAssertionsTest,3,1015
ExplicitFrameworkValidationTest,3,1020
MockitoCoreTest,2,681
StubbingMocksThatAreConfiguredToReturnMocksTest,2,681
RelaxedStrictVerificationTest,5,1719
ActualInvocationsFinderTest,5,1719
CustomAssertionsTest,2,700
HasStackTraceThrowableWrapper,5,1761
MockingPackageProtectedTest,4,1411
NPEWhenMockingThrowablesTest,3,1063
VerificationInOrderFailure,3,1069
OngoingVerifyingMode,5,1785
OrderOfInvocationsVerifier,5,1786
StubbingSpiesDoesNotYieldNPETest,3,1081
NewMatchersTest,3,1082
MockitoErrorTest,5,1856
ConfiguringSelectedMocksToReturnFakesTest,4,1503
ConfiguringDefaultReturnValuesUsingBaseClassTest,4,1503
DelegatingMockitoMethod,2,766
MockitoExperimental,5,1917
WasInvokedMatcher,5,1924
ToTypeMappingsTest,5,1926
CompareToTest,5,1934
NameTest,5,1934
MockitoLoggerStub,3,1163
UsageTest,5,1946
