ClassName,Changes,TotalCommits,Insertions,Deletions
CamelCaseSeparatorNamingPolicy,6,1244,13,84
EscaperTest,6,1244,69,210
TypeInfoFactoryTest,6,1244,42,294
DefaultMapJsonSerializerTest,6,1244,26,23
FieldNamingStrategy,6,1244,8,5
MemoryRefStackTest,6,1244,21,107
JsonCompactFormatter,6,1244,59,192
DefaultDateTypeAdapterTest,6,1244,120,8
VersioningTest,6,1244,79,18
JavaFieldNamingPolicyTest,6,1244,6,55
ResponseBuilderMap,4,852,4,61
GsonInternalAccess,2,427,0,39
JsonTreeWriterTest,2,428,1,0
ResourceQueryClient,4,857,16,99
JsonParserJavacc,5,1087,161,865
TypeAdapterFactory,2,435,2,2
CallPathTest,4,873,52,85
JsonParserImplConstants,5,1111,50,118
JsonParserImplTokenManager,5,1111,421,1593
RawSerializationTest,3,667,27,7
RawCollectionsExample,3,679,4,6
StringPool,3,692,13,73
MoreSpecificTypeSerializationTest,3,699,77,2
TypedKeys,4,951,16,42
UpperCamelCaseSeparatorNamingPolicy,4,961,1,46
TreeTypeAdaptersTest,2,483,2,0
package-info,3,731,0,9
QueueConsumer,4,977,5,64
QueueEntry,4,977,4,42
ResponseCallback,4,977,7,40
$Gson$Preconditions,3,735,0,0
GsonExclusionStrategy,2,490,0,132
FieldNamingTest,2,496,19,10
WebServiceConfig,5,1241,5,76
NullExclusionStrategy,5,1244,9,47
JsonPrimitiveDeserializationVisitor,5,1244,5,100
TypeInfoMap,5,1244,18,68
GsonBuilderTest,5,1244,63,9
ParameterizedTypeFixtures,2,498,4,4
TypeMapTest,2,501,0,118
TypeMap,2,501,0,180
ExposeAnnotationSerializationExclusionStrategyTest,4,1034,12,88
ExposeAnnotationDeserializationExclusionStrategyTest,4,1034,12,88
CircularReferenceTest,4,1037,14,19
JsonParserAsyncTest,4,1074,14,33
JsonParserJavaccConstants,4,1087,1,102
JsonParserImpl,4,1111,175,843
ServicePaths,3,852,1,53
IDFactory,3,870,25,45
ID,3,870,1,8
JsonIOException,3,909,2,1
FunctionalTest,3,918,17,71
WebServiceAppException,4,1241,0,74
Util,4,1241,0,150
PrintFormattingTest,4,1244,32,4
JsonFieldNameValidatorTest,4,1244,20,117
JsonToken,3,933,3,2
EscapingTest,4,1244,44,2
SerializedName,4,1244,32,14
JavaFieldNamingPolicy,4,1244,5,55
JsonEscapingVisitor,4,1244,16,78
LowerCaseNamingPolicy,4,1244,7,54
UpperCaseNamingPolicy,4,1244,4,51
MockExclusionStrategy,4,1244,5,7
ModifierBasedExclusionStrategy,4,1244,9,69
JsonScope,3,933,10,9
InterceptorFactory,1,318,0,0
GsonProguardExampleActivity,2,648,25,1
SingleThreadExecutor,3,977,3,40
TaskExecutor,3,977,1,30
ThreadPerTaskExecutor,3,977,3,39
SystemOnlyTypeAdaptersTest,2,664,0,77
CustomSerializerTest,3,1016,40,24
CircularReferenceException,3,1037,2,48
JavaSerializationTest,1,356,0,0
JsonParserAsync,3,1074,27,104
LongSerializationPolicy,3,1123,13,29
$Cache,2,758,0,0
$LruCache,2,758,0,0
$Pair,2,758,0,0
$Preconditions,2,758,0,0
$Primitives,2,758,0,0
$Types,2,758,0,0
$UnsafeAllocator,2,758,0,0
FieldExclusionTest,3,1138,33,22
Until,3,1166,6,3
GsonBenchmark,2,804,0,93
ExposeAnnotationExclusionStrategy,2,808,0,45
ExclusionStrategy2AdapterTest,2,808,0,47
ExclusionStrategy2Adapter,2,808,0,39
Mode,2,808,0,30
MockExclusionStrategy2,2,808,0,49
ExclusionStrategy2,2,808,0,125
StringUnmarshaller,3,1223,3,74
DefaultInetAddressTypeAdapterTest,2,820,5,5
WebServiceCallProvider,3,1241,1,58
CamelCaseSeparatorNamingPolicyTest,3,1244,1,80
FunctionalWithInternalDependenciesTest,3,1244,14,149
Expose,3,1244,28,10
GsonTypeAdapterTest,3,1244,48,8
TypeInfoArray,3,1244,5,77
UncategorizedTest,3,1244,21,1
RecursiveFieldNamingPolicy,3,1244,5,51
LowerCamelCaseSeparatorNamingPolicy,3,1244,2,45
JsonDeserializer,3,1244,5,2
QueryOrdersByItemName,2,855,0,37
JsonTreeWriter,1,428,0,0
ResourceQuery,2,857,0,33
TypedKeysQuery,2,857,0,37
ValueBasedId,2,859,0,203
ResourceDepot,2,859,0,27
Queryable,2,869,0,13
CallPathProviderTest,2,875,0,36
RestServerConfig,2,878,0,38
ConnectionPreconditions,2,878,0,71
ServerConfig,2,878,0,38
ProtosWithComplexAndRepeatedFieldsTest,2,900,8,2
ProtosWithPrimitiveTypesTest,2,900,5,1
IdTypeAdapter,2,910,0,55
JsonTreeReader,1,471,0,0
JsonReaderInternalAccess,1,477,0,0
TypedKeyTest,2,955,0,23
UpperCamelCaseSeparatorNamingPolicyTest,2,961,0,60
InterfaceTest,2,1040,1,0
SecurityTest,2,1096,6,6
LongSerializationPolicyTest,2,1123,17,1
TestCharacters,2,1133,0,12
PrimitiveCharacterTest,1,579,0,0
ObjectConstructor,1,589,0,0
TypeInfoCollection,2,1201,0,46
StringUnmarshallerTest,2,1223,0,55
CompositionFieldNamingPolicy,2,1244,2,47
TokenMgrError,2,1244,148,282
ParseException,2,1244,188,381
InternationalizationTest,2,1244,3,5
ParameterizedTypeImpl,2,1244,10,102
JsonDeserializerExceptionWrapperTest,2,1244,0,90
Since,2,1244,2,1
SimpleCharStream,2,1244,469,909
MoreAsserts,2,1244,9,0
JsonSerializer,2,1244,4,1
TypeInfo,2,1244,0,84
ModifyFirstLetterNamingPolicyTest,2,1244,1,88
JsonElementVisitor,2,1244,19,61
GenericArrayTypeImpl,2,1244,4,75
Token,2,1244,131,213
TypeInfoArrayTest,2,1244,1,124
LowerCamelCaseSeparatorNamingPolicyTest,2,1244,6,59
JsonEscapingVisitorTest,2,1244,6,186
JsonSerializerExceptionWrapper,2,1244,5,69
TypeInfoTest,2,1244,2,116
JsonFormatter,2,1244,3,40
JsonParseException,2,1244,2,1
ExposeAnnotationBasedExclusionStrategy,2,1244,22,59
CollectionsDeserializationBenchmark,1,799,0,0
SerializationBenchmark,1,799,0,0
BagOfPrimitivesDeserializationBenchmark,1,799,0,0
BagOfPrimitives,1,804,0,0
CommentsTest,1,929,0,0
InstanceCreator,1,1244,1,0
PrimitiveTypeAdapterTest,1,1244,0,74
TypeUtilsTest,1,1244,0,57
VersionConstants,1,1244,0,29
TypeAdapterNotRequired,1,1244,0,53
UpperCaseNamingPolicyTest,1,1244,0,53
LowerCaseNamingPolicyTest,1,1244,0,52
TypeInfoMapTest,1,1244,0,66
JsonSerializerExceptionWrapperTest,1,1244,0,86
