ClassName,Changes,TotalCommits
$Gson$Preconditions,3,817
ExposeAnnotationSerializationExclusionStrategyTest,4,1116
ExposeAnnotationDeserializationExclusionStrategyTest,4,1116
CircularReferenceTest,4,1119
TreeTypeAdaptersTest,2,565
GsonExclusionStrategy,2,572
FieldNamingTest,2,578
JsonParserAsyncTest,4,1156
ParameterizedTypeFixtures,2,580
TypeMap,2,583
TypeMapTest,2,583
JsonParserJavaccConstants,4,1169
JsonParserImpl,4,1193
ServicePaths,3,934
Until,4,1248
ID,3,952
IDFactory,3,952
ProtosWithPrimitiveTypesTest,3,982
JsonIOException,3,991
Util,4,1323
WebServiceAppException,4,1323
PrintFormattingTest,4,1326
JsonFieldNameValidatorTest,4,1326
ModifierBasedExclusionStrategy,4,1326
JavaFieldNamingPolicy,4,1326
Expose,4,1326
LowerCaseNamingPolicy,4,1326
EscapingTest,4,1326
MockExclusionStrategy,4,1326
UpperCaseNamingPolicy,4,1326
JsonEscapingVisitor,4,1326
FunctionalTest,3,1000
JsonToken,3,1015
JsonScope,3,1015
TaskExecutor,3,1059
SingleThreadExecutor,3,1059
ThreadPerTaskExecutor,3,1059
GsonProguardExampleActivity,2,730
CustomSerializerTest,3,1098
CircularReferenceException,3,1119
SystemOnlyTypeAdaptersTest,2,746
JsonParserAsync,3,1156
InterceptorFactory,1,400
LongSerializationPolicy,3,1205
FieldExclusionTest,3,1220
$UnsafeAllocator,2,840
$Types,2,840
$Primitives,2,840
$Preconditions,2,840
$Pair,2,840
$LruCache,2,840
$Cache,2,840
StringUnmarshaller,3,1305
JavaSerializationTest,1,438
WebServiceCallProvider,3,1323
RecursiveFieldNamingPolicy,3,1326
UncategorizedTest,3,1326
FunctionalWithInternalDependenciesTest,3,1326
TypeInfoArray,3,1326
JsonDeserializer,3,1326
LowerCamelCaseSeparatorNamingPolicy,3,1326
Since,3,1326
GsonTypeAdapterTest,3,1326
CamelCaseSeparatorNamingPolicyTest,3,1326
GsonBenchmark,2,886
ExclusionStrategy2Adapter,2,890
ExclusionStrategy2AdapterTest,2,890
ExclusionStrategy2,2,890
MockExclusionStrategy2,2,890
Mode,2,890
ExposeAnnotationExclusionStrategy,2,890
DefaultInetAddressTypeAdapterTest,2,902
QueryOrdersByItemName,2,937
ResourceQuery,2,939
TypedKeysQuery,2,939
ResourceDepot,2,941
ValueBasedId,2,941
Queryable,2,951
CallPathProviderTest,2,957
RestServerConfig,2,960
ConnectionPreconditions,2,960
ServerConfig,2,960
ProtosWithComplexAndRepeatedFieldsTest,2,982
IdTypeAdapter,2,992
TypedKeyTest,2,1037
UpperCamelCaseSeparatorNamingPolicyTest,2,1043
JsonReaderInternalAccess,1,559
InterfaceTest,2,1122
SecurityTest,2,1178
LongSerializationPolicyTest,2,1205
TestCharacters,2,1215
TypeInfoCollection,2,1283
StringUnmarshallerTest,2,1305
PrimitiveCharacterTest,1,661
ModifyFirstLetterNamingPolicyTest,2,1326
JsonParseException,2,1326
MoreAsserts,2,1326
CompositionFieldNamingPolicy,2,1326
ParameterizedTypeImpl,2,1326
ParseException,2,1326
JsonElementVisitor,2,1326
InternationalizationTest,2,1326
JsonEscapingVisitorTest,2,1326
TypeInfoTest,2,1326
JsonSerializerExceptionWrapper,2,1326
TokenMgrError,2,1326
GenericArrayTypeImpl,2,1326
Token,2,1326
TypeInfo,2,1326
TypeInfoArrayTest,2,1326
JsonSerializer,2,1326
JsonFormatter,2,1326
JsonDeserializerExceptionWrapperTest,2,1326
SimpleCharStream,2,1326
ExposeAnnotationBasedExclusionStrategy,2,1326
LowerCamelCaseSeparatorNamingPolicyTest,2,1326
ObjectConstructor,1,671
BagOfPrimitivesDeserializationBenchmark,1,881
CollectionsDeserializationBenchmark,1,881
SerializationBenchmark,1,881
BagOfPrimitives,1,886
CommentsTest,1,1011
PrimitiveTypeAdapterTest,1,1326
TypeAdapterNotRequired,1,1326
InstanceCreator,1,1326
VersionConstants,1,1326
UpperCaseNamingPolicyTest,1,1326
TypeUtilsTest,1,1326
TypeInfoMapTest,1,1326
JsonSerializerExceptionWrapperTest,1,1326
LowerCaseNamingPolicyTest,1,1326
